sequence_id,sequence,length,cross_avg_weighted_score,cross_std_weighted_score,cross_avg_reduction,cross_std_reduction,successful_datasets,cluster_54_score,cluster_54_avg_red,cluster_54_med_red,cluster_54_min_red,cluster_54_std_red,cluster_54_neg_rate,cluster_54_runs
2271,"['--gvn-hoist', '--indvars', '--reassociate', '--mergereturn', '--loop-unroll', '--mem2reg', '--loop-interchange', '--aggressive-instcombine', '--loop-simplifycfg', '--ipsccp', '--mem2reg', '--simplifycfg', '--early-cse-memssa', '--inline', '--loop-reroll', '--elim-avail-extern', '--gvn-hoist', '--newgvn', '--instcombine', '--reassociate', '--gvn-hoist', '--instcombine', '--instcombine', '--instcombine', '--simplifycfg', '--early-cse', '--aggressive-instcombine', '--ipsccp', '--nary-reassociate', '--bdce', '--mem2reg']",31,0.7797681549365949,0.0,9.15207224641187,0.0,1,0.7797681549365949,9.15207224641187,16.0,-6.153846153846154,10.842860298723075,33.33333333333333,3
2275,"['--gvn-hoist', '--indvars', '--reassociate', '--loop-unroll', '--loop-reroll', '--loop-interchange', '--aggressive-instcombine', '--elim-avail-extern', '--mergefunc', '--mem2reg', '--mem2reg', '--simplifycfg', '--correlated-propagation', '--early-cse-memssa', '--inline', '--instcombine', '--elim-avail-extern', '--gvn-hoist', '--instcombine', '--newgvn', '--reassociate', '--instcombine', '--instcombine', '--gvn-hoist', '--ipsccp', '--loop-unroll-and-jam', '--simplifycfg', '--bdce', '--early-cse', '--aggressive-instcombine', '--ipsccp', '--gvn-hoist', '--instcombine', '--mem2reg']",34,0.7797681549365949,0.0,9.15207224641187,0.0,1,0.7797681549365949,9.15207224641187,16.0,-6.153846153846154,10.842860298723075,33.33333333333333,3
2277,"['--gvn-hoist', '--indvars', '--reassociate', '--loop-unroll', '--loop-guard-widening', '--loop-reroll', '--loop-interchange', '--aggressive-instcombine', '--mem2reg', '--licm', '--simplifycfg', '--early-cse-memssa', '--inline', '--instcombine', '--elim-avail-extern', '--gvn-hoist', '--globalopt', '--bdce', '--reassociate', '--gvn-hoist', '--globalopt', '--newgvn', '--reassociate', '--instcombine', '--lower-constant-intrinsics', '--simplifycfg', '--instcombine', '--early-cse', '--aggressive-instcombine', '--ipsccp', '--nary-reassociate', '--bdce']",32,0.7797681549365949,0.0,9.15207224641187,0.0,1,0.7797681549365949,9.15207224641187,16.0,-6.153846153846154,10.842860298723075,33.33333333333333,3
2280,"['--gvn-hoist', '--indvars', '--reassociate', '--loop-unroll', '--loop-reroll', '--mem2reg', '--aggressive-instcombine', '--elim-avail-extern', '--mem2reg', '--simplifycfg', '--early-cse-memssa', '--inline', '--instcombine', '--elim-avail-extern', '--gvn-hoist', '--elim-avail-extern', '--inline', '--instcombine', '--elim-avail-extern', '--gvn-hoist', '--globalopt', '--newgvn', '--reassociate', '--instcombine', '--gvn-hoist', '--ipsccp', '--mergefunc', '--simplifycfg', '--instcombine', '--early-cse', '--aggressive-instcombine', '--ipsccp', '--nary-reassociate', '--bdce', '--mem2reg']",35,0.7797681549365949,0.0,9.15207224641187,0.0,1,0.7797681549365949,9.15207224641187,16.0,-6.153846153846154,10.842860298723075,33.33333333333333,3
2282,"['--gvn-hoist', '--indvars', '--reassociate', '--mergereturn', '--loop-unroll', '--loop-reroll', '--inline', '--loop-interchange', '--aggressive-instcombine', '--loop-simplifycfg', '--loop-deletion', '--mem2reg', '--simplifycfg', '--early-cse-memssa', '--inline', '--instcombine', '--elim-avail-extern', '--gvn-hoist', '--globalopt', '--newgvn', '--reassociate', '--instcombine', '--reassociate', '--gvn-hoist', '--ipsccp', '--instcombine', '--simplifycfg', '--ipsccp', '--early-cse', '--aggressive-instcombine', '--aggressive-instcombine', '--ipsccp', '--nary-reassociate', '--bdce', '--mem2reg']",35,0.7797681549365949,0.0,9.15207224641187,0.0,1,0.7797681549365949,9.15207224641187,16.0,-6.153846153846154,10.842860298723075,33.33333333333333,3
2284,"['--gvn-hoist', '--inline', '--indvars', '--reassociate', '--simple-loop-unswitch', '--loop-reroll', '--mem2reg', '--mem2reg', '--simplifycfg', '--early-cse-memssa', '--inline', '--instcombine', '--elim-avail-extern', '--gvn-hoist', '--elim-avail-extern', '--gvn-hoist', '--newgvn', '--instcombine', '--reassociate', '--speculative-execution', '--gvn-hoist', '--instcombine', '--instcombine', '--simplifycfg', '--instcombine', '--early-cse', '--aggressive-instcombine', '--mem2reg']",28,0.7797681549365949,0.0,9.15207224641187,0.0,1,0.7797681549365949,9.15207224641187,16.0,-6.153846153846154,10.842860298723075,33.33333333333333,3
2285,"['--gvn-hoist', '--inline', '--indvars', '--reassociate', '--simple-loop-unswitch', '--loop-reroll', '--mem2reg', '--aggressive-instcombine', '--elim-avail-extern', '--mem2reg', '--mem2reg', '--simplifycfg', '--early-cse-memssa', '--inline', '--ipsccp', '--elim-avail-extern', '--gvn-hoist', '--loop-fusion', '--reassociate', '--reassociate', '--gvn-hoist', '--instcombine', '--instcombine', '--instcombine', '--simplifycfg', '--early-cse', '--aggressive-instcombine', '--ipsccp', '--nary-reassociate', '--bdce', '--mem2reg']",31,0.7797681549365949,0.0,9.15207224641187,0.0,1,0.7797681549365949,9.15207224641187,16.0,-6.153846153846154,10.842860298723075,33.33333333333333,3
2286,"['--gvn-hoist', '--indvars', '--reassociate', '--loop-unroll', '--loop-reroll', '--mem2reg', '--aggressive-instcombine', '--elim-avail-extern', '--mem2reg', '--die', '--mem2reg', '--simplifycfg', '--early-cse-memssa', '--inline', '--instcombine', '--slp-vectorizer', '--gvn-hoist', '--globalopt', '--newgvn', '--reassociate', '--instcombine', '--gvn-hoist', '--instcombine', '--simplifycfg', '--instcombine', '--instcombine', '--early-cse', '--aggressive-instcombine', '--strip', '--nary-reassociate', '--bdce', '--mem2reg']",32,0.7797681549365949,0.0,9.15207224641187,0.0,1,0.7797681549365949,9.15207224641187,16.0,-6.153846153846154,10.842860298723075,33.33333333333333,3
2292,"['--gvn-hoist', '--inline', '--indvars', '--reassociate', '--simple-loop-unswitch', '--loop-reroll', '--mem2reg', '--aggressive-instcombine', '--elim-avail-extern', '--mem2reg', '--mem2reg', '--simplifycfg', '--early-cse-memssa', '--inline', '--inline', '--instcombine', '--elim-avail-extern', '--gvn-hoist', '--globalopt', '--newgvn', '--loop-predication', '--reassociate', '--instcombine', '--gvn-hoist', '--ipsccp', '--mergefunc', '--simplifycfg', '--instcombine', '--early-cse', '--ipsccp', '--gvn-hoist', '--bdce', '--mem2reg', '--globalopt']",34,0.7797681549365949,0.0,9.15207224641187,0.0,1,0.7797681549365949,9.15207224641187,16.0,-6.153846153846154,10.842860298723075,33.33333333333333,3
2293,"['--gvn-hoist', '--indvars', '--reassociate', '--loop-unroll', '--hotcoldsplit', '--loop-reroll', '--loop-interchange', '--aggressive-instcombine', '--elim-avail-extern', '--mem2reg', '--functionattrs', '--mem2reg', '--simplifycfg', '--early-cse-memssa', '--inline', '--flattencfg', '--loop-simplify', '--gvn-hoist', '--globalopt', '--newgvn', '--reassociate', '--gvn-hoist', '--instcombine', '--ipsccp', '--loop-unroll-and-jam', '--simplifycfg', '--instcombine', '--early-cse', '--aggressive-instcombine', '--globalopt', '--gvn-hoist', '--bdce', '--mem2reg', '--globalopt']",34,0.7797681549365949,0.0,9.15207224641187,0.0,1,0.7797681549365949,9.15207224641187,16.0,-6.153846153846154,10.842860298723075,33.33333333333333,3
