sequence,length,cross_avg_weighted_score,cross_avg_reduction,cross_std_weighted_score,cross_std_reduction,successful_datasets
"['--loop-reroll', '--loop-simplifycfg', '--loop-rotate', '--loop-interchange', '--jump-threading', '--globaldce', '--loop-vectorize', '--indvars', '--loop-fusion', '--nary-reassociate', '--dse', '--instsimplify', '--loop-idiom', '--loop-versioning-licm', '--mergefunc', '--loop-simplify', '--slp-vectorizer', '--aggressive-instcombine', '--loop-guard-widening', '--early-cse', '--reg2mem', '--loop-predication', '--loop-unswitch', '--loop-sink', '--die', '--loop-unroll', '--sink', '--hotcoldsplit', '--slsr', '--load-store-vectorizer', '--globalopt', '--memcpyopt', '--instcombine', '--functionattrs', '--sroa', '--lower-constant-intrinsics', '--simplifycfg', '--sccp', '--lowerswitch', '--dce', '--break-crit-edges', '--early-cse-memssa', '--mem2reg', '--simple-loop-unswitch', '--separate-const-offset-from-gep', '--lowerinvoke', '--bdce', '--newgvn', '--speculative-execution', '--inferattrs', '--licm', '-loop-reduce', '--lower-expect', '--scalarizer', '--ipsccp', '--loop-rotate', '--elim-avail-extern', '--reassociate', '--inline', '--flattencfg', '--loop-instsimplify', '--tailcallelim', '--adce', '--gvn', '--irce', '--mldst-motion', '--newgvn', '--loop-sink', '--correlated-propagation', '--loop-interchange', '--loop-rotate', '--loweratomic', '--newgvn', '--hotcoldsplit', '--correlated-propagation', '--loop-rotate', '--flattencfg', '--lowerswitch', '--indvars', '--loop-idiom']",80,0.0,0.0,0.0,0.0,1
"['--licm', '--break-crit-edges', '--loop-deletion', '-loop-reduce', '--simple-loop-unswitch', '--ipconstprop', '--loop-reroll', '--ipconstprop', '--irce', '--mem2reg', '--functionattrs', '--simplifycfg', '--reassociate', '--aggressive-instcombine', '--slp-vectorizer', '--simplifycfg', '--lower-constant-intrinsics', '--sink', '--slp-vectorizer', '--aggressive-instcombine', '--reg2mem', '--loop-predication', '--loop-unswitch', '--die', '--loop-unroll', '--sink', '--hotcoldsplit', '--slsr', '--load-store-vectorizer', '--globalopt', '--memcpyopt', '--functionattrs', '--sroa', '--loop-simplifycfg', '--ipconstprop', '--memcpyopt', '--loop-unswitch', '--speculative-execution', '--loop-simplify', '--load-store-vectorizer', '--lowerinvoke', '--loop-vectorize', '--mem2reg', '--lower-expect', '--sccp', '--gvn', '--mldst-motion', '--loop-versioning-licm', '--hotcoldsplit', '--hotcoldsplit', '--gvn-hoist', '--break-crit-edges', '--irce', '--separate-const-offset-from-gep', '--instcombine', '--dse', '--loop-fusion', '--tailcallelim', '--simple-loop-unswitch', '--dce', '--reg2mem', '--functionattrs', '--die', '--indvars', '--scalarizer', '--loweratomic', '--newgvn', '--loop-sink', '--correlated-propagation', '--loop-rotate', '--flattencfg', '--inline', '--loop-idiom']",73,0.0,0.0,0.0,0.0,1
"['--licm', '--break-crit-edges', '--loop-deletion', '-loop-reduce', '--simple-loop-unswitch', '--ipconstprop', '--loop-reroll', '--ipconstprop', '--irce', '--mem2reg', '--functionattrs', '--simplifycfg', '--reassociate', '--aggressive-instcombine', '--slp-vectorizer', '--lower-constant-intrinsics', '--slp-vectorizer', '--aggressive-instcombine', '--loop-rotate', '--early-cse', '--loop-predication', '--loop-unroll-and-jam', '--functionattrs', '--lower-constant-intrinsics', '--prune-eh', '--loop-unroll', '--early-cse-memssa', '--mem2reg', '--prune-eh', '--load-store-vectorizer', '--globalopt', '--memcpyopt', '--instcombine', '--sccp']",34,0.0,0.0,0.0,0.0,1
"['--functionattrs', '--gvn', '--ipconstprop', '--lowerswitch', '--simplifycfg', '--ipconstprop', '--speculative-execution', '--inferattrs', '--simplifycfg', '--reassociate', '--inferattrs', '--slp-vectorizer', '--sroa', '--lower-constant-intrinsics', '--sccp', '--aggressive-instcombine', '--loop-guard-widening', '--early-cse', '--reg2mem', '--loop-predication', '--loop-unswitch', '--loop-sink', '--die', '--loop-unroll', '--sink', '--instsimplify', '--nary-reassociate', '--sink', '--mergereturn', '--instsimplify', '--globaldce', '--adce', '--partially-inline-libcalls', '--loop-predication', '--globalopt', '--loop-predication', '--mergereturn', '--loop-simplifycfg', '--early-cse-memssa', '--break-crit-edges', '--loop-unswitch', '--speculative-execution', '--loop-simplify', '--sccp', '--gvn', '--mldst-motion', '--loop-simplify', '--break-crit-edges', '--hotcoldsplit', '--gvn-hoist', '--newgvn', '--licm', '-loop-reduce', '--lower-expect', '--scalarizer', '--separate-const-offset-from-gep', '--instcombine', '--dse', '--break-crit-edges', '--tailcallelim', '--simple-loop-unswitch', '--dce', '--reg2mem', '--functionattrs', '--die', '--indvars', '--scalarizer', '--loweratomic', '--correlated-propagation', '--loweratomic', '--newgvn', '--mergereturn', '--prune-eh', '--gvn-hoist', '--loop-unroll-and-jam', '--partially-inline-libcalls']",76,0.0,0.0,0.0,0.0,1
"['--loop-reroll', '--dse', '--ipconstprop', '--loop-interchange', '--simple-loop-unswitch', '--ipconstprop', '--loop-reroll', '--inline', '--irce', '--break-crit-edges', '--simplifycfg', '--reassociate', '--aggressive-instcombine', '--slp-vectorizer', '--simplifycfg', '--lower-constant-intrinsics', '--early-cse', '--slp-vectorizer', '--aggressive-instcombine', '--loweratomic', '--lowerinvoke', '--jump-threading', '--early-cse', '--loop-unroll-and-jam', '--simplifycfg', '--loop-unroll-and-jam', '--mldst-motion', '--functionattrs', '--loop-versioning-licm', '--loop-vectorize', '--sroa', '--sink', '--load-store-vectorizer', '--globalopt', '--instcombine', '--functionattrs', '--sroa', '--lower-constant-intrinsics', '--sccp', '--early-cse-memssa', '--newgvn', '--break-crit-edges', '--loop-fusion', '--mem2reg', '--simple-loop-unswitch', '--separate-const-offset-from-gep', '--lowerinvoke', '--bdce', '--dce', '--speculative-execution', '--inferattrs', '--early-cse-memssa', '-loop-reduce', '--lower-expect', '--loop-predication', '--ipsccp', '--loop-rotate', '--reassociate', '--reassociate', '--inline', '--mem2reg', '--flattencfg', '--loop-instsimplify', '--tailcallelim', '--adce', '--gvn', '--irce', '--mldst-motion', '--correlated-propagation', '--ipconstprop', '--scalarizer', '--strip', '--newgvn', '--loop-sink', '--correlated-propagation', '--loop-rotate', '--flattencfg', '--indvars', '--loop-idiom']",79,0.0,0.0,0.0,0.0,1
"['-loop-reduce', '--slp-vectorizer', '--loop-versioning-licm', '--slsr', '--lower-expect', '--loop-guard-widening', '--scalarizer', '--die', '--mldst-motion', '--loweratomic', '--simplifycfg', '--licm', '--sink', '--load-store-vectorizer', '--sroa', '--functionattrs', '--mergereturn', '--globaldce', '--ipconstprop', '--gvn', '--loop-instsimplify', '--strip', '--early-cse', '--jump-threading', '--mergefunc', '--loop-simplifycfg', '--speculative-execution', '--flattencfg', '--instcombine', '--lower-constant-intrinsics', '--loop-fusion', '--prune-eh', '--loop-unswitch', '--sccp']",34,0.0,0.0,0.0,0.0,1
"['--licm', '--break-crit-edges', '--loop-deletion', '--ipconstprop', '--lowerswitch', '--simplifycfg', '--ipconstprop', '--speculative-execution', '--inferattrs', '--simplifycfg', '--reassociate', '--inferattrs', '--slp-vectorizer', '--sroa', '--lower-constant-intrinsics', '--sccp', '--aggressive-instcombine', '--loop-guard-widening', '--early-cse', '--reg2mem', '--reg2mem', '--loop-unswitch', '--loop-sink', '--die', '--loop-unroll', '--sink', '--instsimplify', '--globalopt', '--ipsccp', '--dce', '--loop-unroll-and-jam', '--licm', '--functionattrs', '--sroa', '--loop-simplifycfg', '--ipconstprop', '--memcpyopt', '--loop-unswitch', '--speculative-execution', '--loop-simplify', '--load-store-vectorizer', '--lowerinvoke', '--loop-vectorize', '--mem2reg', '--lower-expect', '--sccp', '--gvn', '--mldst-motion', '--loop-versioning-licm', '--break-crit-edges', '--hotcoldsplit', '--gvn-hoist', '--loop-reroll', '--irce', '--separate-const-offset-from-gep', '--instcombine', '--dse', '--loop-fusion', '--tailcallelim', '--simple-loop-unswitch', '--dce', '--loop-predication', '--functionattrs', '--die', '--indvars', '--scalarizer', '--loweratomic', '--newgvn', '--loop-sink', '--correlated-propagation', '--loop-rotate', '--flattencfg', '--inline', '--loop-idiom']",74,0.0,0.0,0.0,0.0,1
"['--loop-reroll', '--dse', '--ipconstprop', '--loop-interchange', '--ipconstprop', '--loop-reroll', '--ipconstprop', '--sccp', '--break-crit-edges', '--simplifycfg', '--reassociate', '--loop-instsimplify', '--slp-vectorizer', '--slp-vectorizer', '--simplifycfg', '--lower-constant-intrinsics', '--early-cse', '--slp-vectorizer', '--aggressive-instcombine', '--loweratomic', '--lowerinvoke', '--jump-threading', '--early-cse', '--loop-unroll-and-jam', '--loop-unswitch', '--loop-unroll-and-jam', '--mldst-motion', '--functionattrs', '--loop-versioning-licm', '--lower-expect', '--sroa', '--sink', '--load-store-vectorizer', '--globalopt', '--instcombine', '--functionattrs', '--sroa', '--lower-constant-intrinsics', '--sccp', '--lowerswitch', '--ipconstprop', '--memcpyopt', '--loop-unswitch', '--speculative-execution', '--loop-simplify', '--separate-const-offset-from-gep', '--lowerinvoke', '--bdce', '--newgvn', '--speculative-execution', '--inferattrs', '--early-cse-memssa', '--flattencfg', '--inline', '--flattencfg', '--lower-expect', '--loop-instsimplify', '--prune-eh', '--adce', '--gvn', '--sroa', '--mldst-motion', '--correlated-propagation', '--lowerswitch', '--simplifycfg', '--instsimplify', '--scalarizer', '--loop-deletion', '--loweratomic', '--slp-vectorizer', '--mergereturn', '--memcpyopt']",72,0.0,0.0,0.0,0.0,1
"['--licm', '--break-crit-edges', '--globalopt', '--ipconstprop', '--lowerswitch', '--simplifycfg', '--ipconstprop', '--speculative-execution', '--inferattrs', '--simplifycfg', '--reassociate', '--inferattrs', '--slp-vectorizer', '--sroa', '--lower-constant-intrinsics', '--sccp', '--aggressive-instcombine', '--loop-guard-widening', '--early-cse', '--reg2mem', '--loop-predication', '--loop-unswitch', '--loop-sink', '--die', '--loop-unroll', '--sink', '--instsimplify', '--loop-deletion', '--ipsccp', '--dce', '--loop-unroll-and-jam', '--licm', '--sroa', '--loop-simplifycfg', '--ipconstprop', '--memcpyopt', '--loop-unswitch', '--speculative-execution', '--loop-simplify', '--load-store-vectorizer', '--lowerinvoke', '--loop-vectorize', '--mem2reg', '--lower-expect', '--sccp', '--gvn', '--mldst-motion', '--loop-versioning-licm', '--break-crit-edges', '--hotcoldsplit', '--gvn-hoist', '--loop-reroll', '--irce', '--separate-const-offset-from-gep', '--instcombine', '--dse', '--loop-fusion', '--tailcallelim', '--simple-loop-unswitch', '--dce', '--reg2mem', '--functionattrs', '--die', '--indvars', '--scalarizer', '--loweratomic', '--newgvn', '--loop-sink', '--correlated-propagation', '--loop-rotate', '--flattencfg', '--inline', '--loop-idiom']",73,0.0,0.0,0.0,0.0,1
"['--licm', '--break-crit-edges', '--loop-deletion', '--ipconstprop', '--lowerswitch', '--simplifycfg', '--ipconstprop', '--speculative-execution', '--inferattrs', '--simplifycfg', '--reassociate', '--inferattrs', '--slp-vectorizer', '--sroa', '--lower-constant-intrinsics', '--sccp', '--aggressive-instcombine', '--loop-guard-widening', '--early-cse', '--reg2mem', '--loop-predication', '--loop-unswitch', '--loop-sink', '--die', '--loop-unroll', '--sink', '--instsimplify', '--globalopt', '--ipsccp', '--dce', '--loop-unroll-and-jam', '--licm', '--sroa', '--loop-simplifycfg', '--ipconstprop', '--memcpyopt', '--loop-unswitch', '--speculative-execution', '--loop-simplify', '--load-store-vectorizer', '--lowerinvoke', '--loop-vectorize', '--mem2reg', '--lower-expect', '--sccp', '--gvn', '--mldst-motion', '--loop-versioning-licm', '--break-crit-edges', '--hotcoldsplit', '--gvn-hoist', '--loop-reroll', '--irce', '--separate-const-offset-from-gep', '--dse', '--loop-fusion', '--tailcallelim', '--simple-loop-unswitch', '--dce', '--reg2mem', '--functionattrs', '--die', '--indvars', '--scalarizer', '--loweratomic', '--newgvn', '--loop-sink', '--correlated-propagation', '--loop-rotate', '--flattencfg', '--inline', '--loop-idiom']",72,0.0,0.0,0.0,0.0,1
