sequence,length,cross_avg_weighted_score,cross_avg_reduction,cross_std_weighted_score,cross_std_reduction,successful_datasets
"['--nary-reassociate', '--lower-constant-intrinsics', '--globalopt', '--early-cse', '--mem2reg', '--jump-threading', '--globalopt', '--elim-avail-extern', '--instcombine', '--adce', '--jump-threading', '--gvn', '--simplifycfg', '--instsimplify', '--gvn-hoist', '--gvn', '--instcombine', '--mem2reg', '--adce', '--newgvn', '--simplifycfg', '--early-cse-memssa', '--newgvn', '--instsimplify', '--gvn-hoist', '--loop-instsimplify', '--licm', '--early-cse-memssa', '--instcombine', '--adce', '--jump-threading', '--gvn', '--simplifycfg', '--instsimplify', '--gvn-hoist', '--mergefunc', '--sroa', '--early-cse', '--instsimplify', '--ipsccp', '--loop-simplifycfg', '--sroa', '--early-cse', '--ipsccp', '--licm', '--instcombine', '--mergefunc', '--jump-threading', '--instcombine', '--sroa', '--simplifycfg', '--early-cse-memssa', '--ipsccp', '--gvn', '--newgvn']",55,7.638888888888889,10.185185185185185,0.0,0.0,1
"['--mldst-motion', '--load-store-vectorizer', '--early-cse-memssa', '--loop-deletion', '--mem2reg', '--loop-simplify', '--mergefunc', '--licm', '--mergefunc', '--instcombine', '--mem2reg', '--adce', '--nary-reassociate', '--flattencfg', '--loop-instsimplify', '--partially-inline-libcalls', '--instcombine', '--mergefunc', '--instcombine', '--newgvn', '--lower-constant-intrinsics', '--early-cse-memssa', '--loop-unroll-and-jam', '--instsimplify', '--load-store-vectorizer', '--correlated-propagation', '--loop-simplifycfg', '--mem2reg', '--jump-threading', '--early-cse', '--jump-threading', '--gvn', '--simplifycfg', '--gvn-hoist', '--simplifycfg', '--lower-expect', '--scalarizer', '--loop-rotate', '--reg2mem', '--tailcallelim', '--mem2reg', '--instcombine']",42,7.638888888888889,10.185185185185185,0.0,0.0,1
"['--loop-guard-widening', '--early-cse', '--elim-avail-extern', '--early-cse-memssa', '--sroa', '--jump-threading', '--globalopt', '--sroa', '--adce', '--jump-threading', '--gvn', '--adce', '--nary-reassociate', '--flattencfg', '--loop-instsimplify', '--partially-inline-libcalls', '--instcombine', '--mergefunc', '--instcombine', '--newgvn', '--lower-constant-intrinsics', '--early-cse-memssa', '--early-cse-memssa', '--instsimplify', '--load-store-vectorizer', '--correlated-propagation', '--flattencfg', '--early-cse-memssa', '--mergefunc', '--lower-expect', '--loop-rotate', '--adce', '--jump-threading', '--strip', '--simplifycfg', '--instsimplify', '--scalarizer', '--loop-instsimplify', '--reg2mem', '--tailcallelim', '--mem2reg', '--instcombine']",42,7.638888888888889,10.185185185185185,0.0,0.0,1
"['--loop-guard-widening', '--early-cse', '--loop-unroll-and-jam', '--early-cse-memssa', '--simplifycfg', '--instcombine', '--mem2reg', '--licm', '--mergefunc', '--instcombine', '--mem2reg', '--simplifycfg', '--instsimplify', '--gvn-hoist', '--mergefunc', '--instcombine', '--jump-threading', '--mergefunc', '--loop-instsimplify', '--newgvn', '--sccp', '--elim-avail-extern', '--mergefunc', '--mem2reg', '--newgvn', '--instsimplify', '--mem2reg', '--globalopt', '--early-cse-memssa', '--mergefunc', '--lower-expect', '--loop-instsimplify', '--adce', '--jump-threading', '--strip', '--simplifycfg', '--instsimplify', '--gvn-hoist', '--mergefunc', '--sroa', '--early-cse', '--instsimplify', '--ipsccp', '--globaldce', '--loop-simplifycfg', '--sroa', '--loop-simplifycfg', '--sroa', '--lower-constant-intrinsics', '--simplifycfg', '--mldst-motion', '--early-cse', '--instcombine', '--gvn', '--jump-threading', '--instcombine', '--early-cse-memssa', '--loop-fusion', '--reassociate', '--gvn', '--ipsccp']",61,7.638888888888889,10.185185185185185,0.0,0.0,1
"['--ipconstprop', '--reassociate', '--load-store-vectorizer', '--early-cse-memssa', '--early-cse-memssa', '--newgvn', '--mem2reg', '--mergefunc', '--loop-reroll', '--instcombine', '--mem2reg', '--simplifycfg', '--mem2reg', '--ipsccp', '--mem2reg', '--newgvn', '--mem2reg', '--adce', '--loop-fusion', '--newgvn', '--mem2reg', '--lower-constant-intrinsics', '--mergefunc', '--correlated-propagation', '--lower-constant-intrinsics', '--loop-simplifycfg', '--lower-expect', '--loop-instsimplify', '--adce', '--jump-threading', '--simplifycfg', '--adce', '--gvn-hoist', '--early-cse', '--mergefunc', '--loop-unswitch', '--gvn-hoist', '--inline', '--jump-threading', '--reg2mem', '--tailcallelim', '--dce', '--nary-reassociate']",43,7.638888888888889,10.185185185185185,0.0,0.0,1
"['--reassociate', '--load-store-vectorizer', '--early-cse-memssa', '--dce', '--loop-deletion', '--mem2reg', '--mergefunc', '--instcombine', '--instsimplify', '--gvn-hoist', '--simplifycfg', '--mem2reg', '--ipsccp', '--instcombine', '--prune-eh', '--simplifycfg', '--sroa', '--strip', '--jump-threading', '--reassociate', '--mergefunc', '--mem2reg', '--mergereturn', '--instsimplify', '--load-store-vectorizer', '--early-cse-memssa', '--lower-expect', '--gvn-hoist', '--early-cse', '--early-cse-memssa', '--instsimplify', '--gvn-hoist', '--gvn', '--loop-instsimplify', '--sccp', '--sroa', '--early-cse', '--instsimplify', '--ipsccp', '--ipsccp', '--loop-simplifycfg', '--sroa', '--early-cse', '--ipsccp', '--licm', '--gvn', '--jump-threading', '--sroa', '--simplifycfg', '--early-cse-memssa', '--ipsccp', '--gvn', '--loop-instsimplify']",53,7.638888888888889,10.185185185185185,0.0,0.0,1
"['--loop-guard-widening', '--early-cse', '--early-cse-memssa', '--prune-eh', '--sroa', '--jump-threading', '--globalopt', '--instcombine', '--adce', '--jump-threading', '--gvn', '--simplifycfg', '--instsimplify', '--gvn-hoist', '--mergefunc', '--instcombine', '--mem2reg', '--adce', '--loop-fusion', '--newgvn', '--mem2reg', '--lower-constant-intrinsics', '--mergefunc', '--instsimplify', '--load-store-vectorizer', '--early-cse-memssa', '--lower-expect', '--loop-unroll-and-jam', '--loop-instsimplify', '--early-cse', '--early-cse-memssa', '--instsimplify', '--gvn-hoist', '--gvn', '--gvn-hoist', '--sccp', '--sroa', '--early-cse', '--instsimplify', '--ipsccp', '--ipsccp', '--loop-simplifycfg', '--nary-reassociate', '--early-cse', '--ipsccp', '--licm', '--gvn', '--jump-threading', '--sroa', '--simplifycfg', '--early-cse-memssa', '--ipsccp', '--gvn', '--newgvn']",54,7.638888888888889,10.185185185185185,0.0,0.0,1
"['--reassociate', '--load-store-vectorizer', '--early-cse-memssa', '--early-cse-memssa', '--loop-instsimplify', '--mem2reg', '--mergefunc', '--speculative-execution', '--mem2reg', '--adce', '--mem2reg', '--ipsccp', '--mem2reg', '--newgvn', '--simplifycfg', '--gvn', '--sroa', '--nary-reassociate', '--jump-threading', '--loop-sink', '--elim-avail-extern', '--mergefunc', '--lower-expect', '--mem2reg', '--mergereturn', '--lower-constant-intrinsics', '--mergefunc', '--instsimplify', '--load-store-vectorizer', '--lower-constant-intrinsics', '--lower-expect', '--adce', '--elim-avail-extern', '--gvn', '--simplifycfg', '--instsimplify', '--scalarizer', '--loop-rotate', '--reg2mem', '--instsimplify', '--ipsccp', '--lowerswitch', '--jump-threading', '--reg2mem', '--tailcallelim', '--dce', '--instcombine']",47,7.638888888888889,10.185185185185185,0.0,0.0,1
"['--loop-guard-widening', '--early-cse', '--early-cse-memssa', '--loop-instsimplify', '--lower-expect', '--loop-instsimplify', '--early-cse', '--early-cse-memssa', '--instsimplify', '--gvn-hoist', '--gvn', '--ipsccp', '--instcombine', '--prune-eh', '--simplifycfg', '--slsr', '--nary-reassociate', '--jump-threading', '--mldst-motion', '--elim-avail-extern', '--mergefunc', '--mem2reg', '--lower-constant-intrinsics', '--mergefunc', '--instsimplify', '--load-store-vectorizer', '--early-cse-memssa', '--lower-expect', '--loop-instsimplify', '--early-cse', '--sroa', '--instsimplify', '--lower-expect', '--loop-instsimplify', '--early-cse', '--mergefunc', '--simple-loop-unswitch', '--reg2mem', '--tailcallelim', '--dce']",40,7.638888888888889,10.185185185185185,0.0,0.0,1
"['--reassociate', '--load-store-vectorizer', '--early-cse-memssa', '--loop-instsimplify', '--jump-threading', '--globalopt', '--globalopt', '--sroa', '--elim-avail-extern', '--instcombine', '--adce', '--gvn', '--simplifycfg', '--die', '--gvn-hoist', '--mergefunc', '--instcombine', '--load-store-vectorizer', '--mem2reg', '--adce', '--newgvn', '--simplifycfg', '--flattencfg', '--mergefunc', '--instsimplify', '--ipconstprop', '--early-cse-memssa', '--loop-simplifycfg', '--lower-expect', '--loop-instsimplify', '--adce', '--jump-threading', '--gvn', '--simplifycfg', '--instsimplify', '--ipsccp', '--instcombine', '--prune-eh', '--simplifycfg', '--sroa', '--loop-versioning-licm', '--nary-reassociate', '--jump-threading', '--instcombine']",44,7.638888888888889,10.185185185185185,0.0,0.0,1
