sequence,length,cross_avg_weighted_score,cross_avg_reduction,cross_std_weighted_score,cross_std_reduction,successful_datasets
"['--inferattrs', '--early-cse-memssa', '--mergefunc', '--jump-threading', '--sccp', '--indvars', '--instcombine', '--sccp', '--gvn-hoist', '--gvn', '--gvn-hoist', '--adce', '--jump-threading', '--bdce', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--simplifycfg', '--simplifycfg', '--gvn-hoist', '--instcombine', '--speculative-execution', '--elim-avail-extern', '--jump-threading', '--gvn', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--loop-instsimplify', '--loop-versioning-licm', '--loop-versioning-licm', '--mem2reg', '--load-store-vectorizer', '--globalopt', '--aggressive-instcombine', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--load-store-vectorizer', '--mldst-motion', '--sccp', '--mem2reg', '--adce', '--globalopt', '--functionattrs', '--lower-constant-intrinsics', '--newgvn', '--simplifycfg', '--lower-expect', '--ipsccp', '--simplifycfg', '--speculative-execution', '--gvn', '--gvn', '--lower-constant-intrinsics', '--reassociate', '--loop-deletion', '--gvn-hoist', '--jump-threading', '--mem2reg', '--nary-reassociate', '--early-cse', '--loop-deletion', '--irce', '--elim-avail-extern', '--simplifycfg', '--instcombine', '--simplifycfg', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--strip', '--sccp', '--globalopt', '--lower-expect', '--nary-reassociate', '--lower-expect']",79,8.224803924881947,16.971896527033145,0.0,0.0,1
"['--inferattrs', '--early-cse-memssa', '--mergefunc', '--jump-threading', '--sccp', '--indvars', '--instcombine', '--sccp', '--gvn-hoist', '--gvn', '--gvn-hoist', '--adce', '--jump-threading', '--bdce', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--simplifycfg', '--simplifycfg', '--gvn-hoist', '--instcombine', '--speculative-execution', '--elim-avail-extern', '--jump-threading', '--gvn', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--loop-instsimplify', '--loop-versioning-licm', '--loop-versioning-licm', '--mem2reg', '--load-store-vectorizer', '--globalopt', '--aggressive-instcombine', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--load-store-vectorizer', '--mldst-motion', '--sccp', '--mem2reg', '--adce', '--globalopt', '--functionattrs', '--lower-constant-intrinsics', '--newgvn', '--simplifycfg', '--lower-expect', '--ipsccp', '--simplifycfg', '--speculative-execution', '--gvn', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--reassociate', '--loop-deletion', '--gvn-hoist', '--jump-threading', '--mem2reg', '--nary-reassociate', '--early-cse', '--loop-deletion', '--irce', '--partially-inline-libcalls', '--instcombine', '--simplifycfg', '--sroa', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--strip', '--sccp', '--globalopt', '--lower-expect', '--nary-reassociate', '--lower-expect']",80,8.220725693442628,16.96660112006961,0.0,0.0,1
"['--inferattrs', '--early-cse-memssa', '--mergefunc', '--jump-threading', '--indvars', '--instcombine', '--sccp', '--gvn-hoist', '--gvn', '--gvn-hoist', '--adce', '--jump-threading', '--bdce', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--simplifycfg', '--simplifycfg', '--gvn-hoist', '--instcombine', '--speculative-execution', '--elim-avail-extern', '--jump-threading', '--gvn', '--ipsccp', '--nary-reassociate', '--lower-constant-intrinsics', '--loop-instsimplify', '--loop-versioning-licm', '--loop-versioning-licm', '--mem2reg', '--load-store-vectorizer', '--globalopt', '--aggressive-instcombine', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--load-store-vectorizer', '--mldst-motion', '--sccp', '--mem2reg', '--adce', '--globalopt', '--functionattrs', '--lower-constant-intrinsics', '--newgvn', '--simplifycfg', '--lower-expect', '--ipsccp', '--simplifycfg', '--speculative-execution', '--gvn', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--reassociate', '--loop-deletion', '--gvn-hoist', '--jump-threading', '--mem2reg', '--mergefunc', '--nary-reassociate', '--early-cse', '--loop-deletion', '--irce', '--partially-inline-libcalls', '--instcombine', '--simplifycfg', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--strip', '--sccp', '--globalopt', '--lower-expect', '--nary-reassociate', '--elim-avail-extern', '--ipsccp']",80,8.220725693442628,16.96660112006961,0.0,0.0,1
"['--inferattrs', '--early-cse-memssa', '--mergefunc', '--jump-threading', '--sccp', '--indvars', '--instcombine', '--sccp', '--gvn-hoist', '--gvn', '--gvn-hoist', '--adce', '--jump-threading', '--bdce', '--newgvn', '--simplifycfg', '--simplifycfg', '--simplifycfg', '--simplifycfg', '--gvn-hoist', '--instcombine', '--speculative-execution', '--elim-avail-extern', '--jump-threading', '--gvn', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--loop-instsimplify', '--loop-versioning-licm', '--loop-versioning-licm', '--mem2reg', '--separate-const-offset-from-gep', '--globalopt', '--aggressive-instcombine', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--load-store-vectorizer', '--mldst-motion', '--sccp', '--mem2reg', '--adce', '--globalopt', '--functionattrs', '--lower-constant-intrinsics', '--newgvn', '--simplifycfg', '--lower-expect', '--ipsccp', '--simplifycfg', '--speculative-execution', '--gvn', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--reassociate', '--loop-deletion', '--gvn-hoist', '--jump-threading', '--mem2reg', '--nary-reassociate', '--early-cse', '--loop-deletion', '--irce', '--partially-inline-libcalls', '--instcombine', '--simplifycfg', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--strip', '--sccp', '--globalopt', '--lower-expect', '--nary-reassociate', '--elim-avail-extern', '--ipsccp']",79,8.220725693442628,16.96660112006961,0.0,0.0,1
"['--inferattrs', '--early-cse-memssa', '--mergefunc', '--jump-threading', '--indvars', '--instcombine', '--sccp', '--gvn-hoist', '--gvn', '--gvn-hoist', '--adce', '--jump-threading', '--bdce', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--simplifycfg', '--simplifycfg', '--gvn-hoist', '--instcombine', '--speculative-execution', '--elim-avail-extern', '--jump-threading', '--gvn', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--loop-instsimplify', '--loop-versioning-licm', '--loop-versioning-licm', '--loop-versioning-licm', '--mem2reg', '--load-store-vectorizer', '--globalopt', '--aggressive-instcombine', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--load-store-vectorizer', '--mldst-motion', '--sccp', '--mem2reg', '--adce', '--globalopt', '--functionattrs', '--lower-constant-intrinsics', '--newgvn', '--simplifycfg', '--lower-expect', '--ipsccp', '--simplifycfg', '--speculative-execution', '--gvn', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--reassociate', '--reassociate', '--loop-deletion', '--gvn-hoist', '--jump-threading', '--mem2reg', '--nary-reassociate', '--early-cse', '--loop-deletion', '--irce', '--partially-inline-libcalls', '--instcombine', '--simplifycfg', '--sroa', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--strip', '--sccp', '--globalopt', '--lower-expect', '--nary-reassociate', '--lower-expect']",81,8.220725693442628,16.96660112006961,0.0,0.0,1
"['--inferattrs', '--early-cse-memssa', '--mergefunc', '--jump-threading', '--indvars', '--instcombine', '--sccp', '--gvn-hoist', '--gvn', '--gvn-hoist', '--adce', '--jump-threading', '--bdce', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--simplifycfg', '--simplifycfg', '--gvn-hoist', '--instcombine', '--speculative-execution', '--elim-avail-extern', '--jump-threading', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--loop-instsimplify', '--loop-versioning-licm', '--loop-versioning-licm', '--mem2reg', '--load-store-vectorizer', '--globalopt', '--aggressive-instcombine', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--load-store-vectorizer', '--mldst-motion', '--sccp', '--sccp', '--mem2reg', '--adce', '--globalopt', '--functionattrs', '--lower-constant-intrinsics', '--newgvn', '--simplifycfg', '--lower-expect', '--ipsccp', '--simplifycfg', '--speculative-execution', '--gvn', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--reassociate', '--loop-deletion', '--gvn-hoist', '--jump-threading', '--mem2reg', '--lower-expect', '--nary-reassociate', '--early-cse', '--loop-deletion', '--irce', '--partially-inline-libcalls', '--instcombine', '--simplifycfg', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--strip', '--sccp', '--globalopt', '--lower-expect', '--nary-reassociate', '--elim-avail-extern', '--ipsccp']",81,8.220725693442628,16.96660112006961,0.0,0.0,1
"['--inferattrs', '--early-cse-memssa', '--mergefunc', '--jump-threading', '--indvars', '--instcombine', '--sccp', '--gvn-hoist', '--gvn', '--gvn-hoist', '--adce', '--jump-threading', '--bdce', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--simplifycfg', '--simplifycfg', '--gvn-hoist', '--instcombine', '--speculative-execution', '--elim-avail-extern', '--jump-threading', '--gvn', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--loop-instsimplify', '--loop-versioning-licm', '--loop-versioning-licm', '--mem2reg', '--load-store-vectorizer', '--globalopt', '--aggressive-instcombine', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--load-store-vectorizer', '--mldst-motion', '--sccp', '--mem2reg', '--adce', '--globalopt', '--functionattrs', '--lower-constant-intrinsics', '--newgvn', '--simplifycfg', '--lower-expect', '--ipsccp', '--simplifycfg', '--speculative-execution', '--gvn', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--reassociate', '--loop-deletion', '--gvn-hoist', '--jump-threading', '--mem2reg', '--nary-reassociate', '--early-cse', '--loop-deletion', '--irce', '--partially-inline-libcalls', '--instcombine', '--simplifycfg', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--strip', '--sccp', '--globalopt', '--lower-expect', '--nary-reassociate', '--elim-avail-extern', '--ipsccp']",79,8.220725693442628,16.96660112006961,0.0,0.0,1
"['--inferattrs', '--early-cse-memssa', '--mergefunc', '--jump-threading', '--indvars', '--instcombine', '--sccp', '--gvn-hoist', '--gvn', '--gvn-hoist', '--adce', '--jump-threading', '--bdce', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--simplifycfg', '--simplifycfg', '--gvn-hoist', '--instcombine', '--speculative-execution', '--elim-avail-extern', '--jump-threading', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--loop-instsimplify', '--loop-versioning-licm', '--loop-versioning-licm', '--mem2reg', '--load-store-vectorizer', '--globalopt', '--aggressive-instcombine', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--load-store-vectorizer', '--mldst-motion', '--sccp', '--mem2reg', '--loop-deletion', '--functionattrs', '--mem2reg', '--newgvn', '--simplifycfg', '--lower-expect', '--ipsccp', '--simplifycfg', '--loop-fusion', '--speculative-execution', '--gvn', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--reassociate', '--globalopt', '--gvn-hoist', '--jump-threading', '--mem2reg', '--nary-reassociate', '--early-cse', '--loop-deletion', '--irce', '--partially-inline-libcalls', '--instcombine', '--simplifycfg', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--strip', '--sccp', '--globalopt', '--lower-expect', '--nary-reassociate', '--elim-avail-extern', '--globalopt', '--lower-expect', '--nary-reassociate', '--elim-avail-extern', '--lower-expect']",83,8.21184388415045,16.956791924740052,0.0,0.0,1
"['--inferattrs', '--early-cse-memssa', '--mergefunc', '--jump-threading', '--indvars', '--instcombine', '--sccp', '--gvn-hoist', '--gvn', '--gvn-hoist', '--adce', '--jump-threading', '--bdce', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--simplifycfg', '--simplifycfg', '--gvn-hoist', '--instcombine', '--speculative-execution', '--elim-avail-extern', '--jump-threading', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--loop-instsimplify', '--loop-versioning-licm', '--loop-versioning-licm', '--mem2reg', '--load-store-vectorizer', '--globalopt', '--aggressive-instcombine', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--load-store-vectorizer', '--mldst-motion', '--sccp', '--mem2reg', '--loop-deletion', '--functionattrs', '--lower-constant-intrinsics', '--newgvn', '--simplifycfg', '--lower-expect', '--ipsccp', '--simplifycfg', '--loop-fusion', '--speculative-execution', '--gvn', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--reassociate', '--globalopt', '--gvn-hoist', '--jump-threading', '--mem2reg', '--nary-reassociate', '--early-cse', '--loop-deletion', '--irce', '--partially-inline-libcalls', '--instcombine', '--simplifycfg', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--strip', '--sccp', '--globalopt', '--lower-expect', '--nary-reassociate', '--elim-avail-extern', '--globalopt', '--lower-expect', '--nary-reassociate', '--elim-avail-extern', '--lower-expect']",83,8.21184388415045,16.956791924740052,0.0,0.0,1
"['--inferattrs', '--early-cse-memssa', '--mergefunc', '--jump-threading', '--indvars', '--instcombine', '--sccp', '--gvn-hoist', '--gvn', '--gvn-hoist', '--adce', '--jump-threading', '--bdce', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--simplifycfg', '--simplifycfg', '--gvn-hoist', '--instcombine', '--speculative-execution', '--elim-avail-extern', '--jump-threading', '--gvn', '--ipsccp', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--loop-instsimplify', '--loop-versioning-licm', '--loop-versioning-licm', '--mem2reg', '--load-store-vectorizer', '--globalopt', '--aggressive-instcombine', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--load-store-vectorizer', '--mldst-motion', '--sccp', '--mem2reg', '--adce', '--globalopt', '--functionattrs', '--lower-constant-intrinsics', '--newgvn', '--simplifycfg', '--lower-expect', '--ipsccp', '--simplifycfg', '--speculative-execution', '--gvn', '--gvn', '--nary-reassociate', '--lower-constant-intrinsics', '--reassociate', '--loop-deletion', '--gvn-hoist', '--jump-threading', '--mem2reg', '--nary-reassociate', '--early-cse', '--loop-deletion', '--irce', '--partially-inline-libcalls', '--instcombine', '--simplifycfg', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--strip', '--sccp', '--globalopt', '--lower-expect', '--globalopt', '--lower-expect', '--lower-expect']",79,8.211417838878145,16.95443936877742,0.0,0.0,1
